report_id,base_len,parla_len
TCGA-W4-A7U4,945,1242
TCGA-AA-A01S,570,614
TCGA-85-7696,590,542
TCGA-EK-A2RK,1031,1618
TCGA-29-1768,854,661
TCGA-J4-A83K,921,1272
TCGA-BH-A0BM,816,2271
TCGA-B4-5843,543,414
TCGA-HZ-A77P,750,1166
TCGA-DX-A3U8,1112,1990
TCGA-D5-6533,692,757
TCGA-BH-A18I,794,1957
TCGA-BH-A0BR,983,1359
TCGA-22-1016,404,595
TCGA-B0-4710,972,1117
TCGA-EW-A1P6,856,1539
TCGA-DH-5140,1053,1159
TCGA-CQ-5333,1046,1180
TCGA-XR-A8TD,714,816
TCGA-CQ-6222,1259,1304
TCGA-DX-A6B7,1068,1493
TCGA-OL-A66J,1018,2896
TCGA-EW-A6SC,745,1287
TCGA-DJ-A2PT,847,1301
TCGA-24-1419,790,1155
TCGA-QR-A6H2,550,674
TCGA-CG-5722,913,2005
TCGA-VS-A959,375,495
TCGA-RR-A6KC,523,633
TCGA-29-1703,826,1621
TCGA-85-8049,631,853
TCGA-GL-A59T,925,991
TCGA-DU-A76L,912,1084
TCGA-SC-A6LQ,827,787
TCGA-GS-A9TU,816,878
TCGA-91-6848,740,1914
TCGA-EL-A3N3,945,927
TCGA-AX-A2IN,839,1324
TCGA-BT-A20O,942,1583
TCGA-2H-A9GI,718,530
TCGA-GR-A4D5,1070,1012
TCGA-05-4424,845,1482
TCGA-B0-5697,802,1144
TCGA-E5-A4TZ,554,476
TCGA-G9-A9S4,1005,1391
TCGA-49-4490,1050,1092
TCGA-DJ-A1QF,862,1239
TCGA-D8-A27M,766,613
TCGA-A2-A0YM,759,1255
TCGA-CZ-5989,817,1443
TCGA-D7-A6EV,656,963
TCGA-FB-AAQ1,946,1466
TCGA-DE-A0Y3,883,1358
TCGA-F2-7276,862,1840
TCGA-CV-A6JO,777,1904
TCGA-A3-3317,831,949
TCGA-AY-A54L,815,1731
TCGA-FU-A5XV,888,1113
TCGA-SR-A6MT,711,1233
TCGA-AK-3434,685,917
TCGA-D1-A0ZS,1037,1615
TCGA-FA-8693,844,742
TCGA-05-4382,703,963
TCGA-AA-3684,810,898
TCGA-A8-A07F,588,602
TCGA-78-7145,905,1046
TCGA-BC-A10Z,949,1560
TCGA-EO-A3KX,779,1259
TCGA-CV-7254,1058,961
TCGA-D1-A17H,867,1382
TCGA-DF-A2KZ,703,585
TCGA-AC-A23G,966,1826
TCGA-ZG-A9ND,805,1019
TCGA-BG-A222,1159,2401
TCGA-BH-A0B1,1341,1772
TCGA-DK-AA6M,927,841
TCGA-78-7536,959,1201
TCGA-C5-A1BQ,543,744
TCGA-P4-AAVO,906,1572
TCGA-EV-5901,947,844
TCGA-HT-7686,717,726
TCGA-KM-8440,898,907
TCGA-EW-A1OV,989,1410
TCGA-E9-A1NG,555,750
TCGA-58-A46N,655,494
TCGA-DJ-A13R,1015,1303
TCGA-2G-AAFE,595,447
TCGA-A7-A4SF,1158,1026
TCGA-C5-A7XC,737,893
TCGA-DJ-A2PY,913,1241
TCGA-DB-A64L,635,1028
TCGA-D8-A140,871,1271
TCGA-AG-3609,931,1028
TCGA-2Y-A9GY,949,1077
TCGA-FD-A3B5,999,1595
TCGA-KC-A7F5,951,1184
TCGA-EJ-5496,1004,1649
TCGA-95-7948,741,1607
TCGA-DK-A1AB,890,2229
TCGA-AA-3941,742,790
TCGA-86-8054,544,593
TCGA-F4-6703,659,670
TCGA-73-4658,1008,1480
TCGA-4X-A9FC,756,1083
TCGA-09-2048,1299,1173
TCGA-21-1079,869,1049
TCGA-A2-A0EM,946,1494
TCGA-BP-4768,956,1390
TCGA-D5-6922,906,963
TCGA-G3-A5SJ,834,1430
TCGA-EL-A3GU,887,909
TCGA-28-5213,632,1104
TCGA-OR-A5JR,656,588
TCGA-B8-4143,887,927
TCGA-HC-8265,964,1527
TCGA-D9-A3Z4,675,576
TCGA-CV-7091,906,1623
TCGA-67-3770,815,882
TCGA-E2-A14W,614,1032
TCGA-DX-A1L3,481,828
TCGA-AY-A69D,953,1512
TCGA-BR-6566,613,646
TCGA-B4-5844,557,600
TCGA-A2-A0CW,1182,2095
TCGA-4Z-AA7O,734,882
TCGA-DG-A2KM,548,516
TCGA-YL-A9WY,810,1162
TCGA-06-0127,543,625
TCGA-HF-A5NB,780,808
TCGA-EJ-5495,1087,1785
TCGA-G9-6377,1242,1126
TCGA-NF-A5CP,741,1181
TCGA-HC-8212,881,1484
